Date,AAPL,ABBV,ABT,ADI,AMAT,AMD,AMGN,AMZN,APA,AVGO,AXP,BAC,BBY,BDX,BKR,BLK,BMY,BSX,C,CB,CFG,CI,CMG,COF,COP,COST,CSCO,CVS,CVX,DHI,DHR,DRI,DVN,ELV,EOG,FANG,FITB,FTNT,GILD,GS,HAL,HBAN,HD,HES,HUM,IBM,INTC,ISRG,JNJ,JPM,KEY,KLAC,KMI,KR,LEN,LLY,LOW,LRCX,MCD,MCHP,MDT,MPC,MRK,MRO,MS,MSFT,MTB,MU,NKE,NVDA,NXPI,OKE,ORCL,OXY,PG,PNC,PSX,PXD,QCOM,RF,ROST,SBUX,SCHW,SLB,SWKS,SYK,TFC,TGT,TJX,TMO,TSLA,TXN,UNH,USB,VLO,WFC,WMB,WMT,XOM,YUM
2021-01-04,125.7408676147461,85.33939361572266,98.56653594970703,133.39109802246094,83.08700561523438,92.30000305175781,190.8686065673828,159.3314971923828,12.72900390625,38.173030853271484,110.37373352050781,26.464048385620117,79.95516967773438,176.27621459960938,18.367250442504883,626.9981079101562,49.818538665771484,35.27000045776367,49.80884552001953,139.1119384765625,28.309768676757812,187.17129516601562,26.382400512695312,88.71843719482422,32.553253173828125,358.6773376464844,37.830810546875,58.52339553833008,67.21353149414062,63.6985969543457,193.19049072265625,97.77941131591797,12.383132934570312,295.86114501953125,38.504859924316406,39.170143127441406,22.418825149536133,29.11199951171875,49.33022689819336,234.08804321289062,17.124942779541016,9.960501670837402,232.10479736328125,,391.7419128417969,95.08970642089844,44.90293884277344,266.6666564941406,135.05967712402344,109.49156951904297,12.683547019958496,246.03895568847656,9.945302963256836,28.587203979492188,66.24748992919922,156.52487182617188,144.9305877685547,45.2089729309082,186.49569702148438,61.662933349609375,99.0920181274414,35.57329177856445,65.4280776977539,,57.623321533203125,208.4065399169922,107.45991516113281,72.22000122070312,129.60504150390625,13.076017379760742,147.73057556152344,27.314409255981445,59.099361419677734,16.36559295654297,119.85364532470703,122.6243667602539,56.60004806518555,,132.48699951171875,12.930133819580078,110.48117065429688,90.99713897705078,49.08485794067383,19.601675033569336,130.8763427734375,226.38951110839844,36.56003952026367,151.61676025390625,61.66048812866211,465.2049865722656,243.2566680908203,139.1153106689453,319.662109375,36.84445571899414,46.16379165649414,26.19045639038086,15.59957218170166,45.454315185546875,33.46663284301758,95.9625473022461
2021-01-05,127.29544067382812,86.22186279296875,99.78605651855469,135.7753143310547,85.6981201171875,92.7699966430664,191.79489135742188,160.92550659179688,13.944156646728516,38.431575775146484,110.96280670166016,26.666736602783203,80.36096954345703,176.50833129882812,18.57696533203125,630.314697265625,49.956512451171875,36.2400016784668,51.10087203979492,139.22340393066406,28.92346954345703,185.08775329589844,27.10219955444336,90.80403900146484,34.42073440551758,354.51641845703125,37.84801483154297,58.916385650634766,69.03053283691406,62.81892395019531,197.98500061035156,99.343994140625,13.327418327331543,292.6293640136719,41.640228271484375,42.95590591430664,22.7316837310791,28.347999572753906,49.239959716796875,239.32627868652344,18.561874389648438,10.182549476623535,233.97802734375,,392.6828308105469,96.77761840820312,45.75271987915039,268.3500061035156,136.64761352539062,110.08734130859375,12.885986328125,251.19921875,10.194668769836426,28.382566452026367,65.74799346923828,157.3004150390625,145.41856384277344,46.77230453491211,187.61351013183594,63.01593780517578,99.88631439208984,36.74307632446289,65.54122161865234,,58.6015510559082,208.60755920410156,108.87499237060547,75.3506851196289,130.65040588378906,13.366434097290039,151.04002380371094,28.68378257751465,58.366981506347656,18.01621437072754,120.6189193725586,121.97488403320312,58.11466598510742,,135.99319458007812,13.173334121704102,110.5755386352539,91.2972183227539,49.09416961669922,20.65543556213379,135.72166442871094,226.99569702148438,36.80801773071289,153.95550537109375,61.57742691040039,471.022216796875,245.0366668701172,140.13584899902344,315.3634033203125,36.96428680419922,47.480865478515625,26.92238426208496,16.072986602783203,45.21234130859375,35.07947540283203,95.97161102294922
2021-01-06,123.01050567626953,85.47703552246094,99.57830047607422,136.3874053955078,86.87454986572266,90.33000183105469,196.41798400878906,156.91900634765625,14.512956619262695,38.194576263427734,115.06769561767578,28.33230209350586,84.26761627197266,178.34349060058594,19.363384246826172,648.2914428710938,50.0782470703125,36.7599983215332,54.0410270690918,145.84780883789062,30.931928634643555,190.54673767089844,26.868200302124023,97.36905670166016,35.79460906982422,349.1195068359375,38.20946502685547,60.67234802246094,71.25221252441406,62.28916931152344,204.54493713378906,101.69932556152344,14.064414978027344,304.90655517578125,42.52060317993164,45.07688522338867,24.913467407226562,27.621999740600586,50.84025573730469,252.24093627929688,18.934749603271484,11.181771278381348,235.31480407714844,,416.1099853515625,99.19435119628906,46.1956901550293,264.2633361816406,137.93345642089844,115.25657653808594,14.139548301696777,250.65113830566406,10.532045364379883,28.658384323120117,65.37333679199219,155.40887451171875,147.36148071289062,46.95578384399414,187.18768310546875,64.22509765625,101.51763153076172,37.49381637573242,66.5756607055664,,62.1350212097168,203.19847106933594,118.46688842773438,75.20439910888672,131.68653869628906,12.578445434570312,153.8207244873047,29.01155662536621,58.22740173339844,18.75712013244629,121.88856506347656,128.67538452148438,57.68539810180664,,134.8869171142578,13.984003067016602,115.40739440917969,91.95917510986328,53.41095733642578,21.798494338989258,137.62335205078125,229.63829040527344,38.74527359008789,161.25341796875,64.28157806396484,478.4072265625,251.9933319091797,140.83042907714844,328.59808349609375,39.15323257446289,48.5411491394043,28.8271427154541,16.68610382080078,45.49463653564453,35.974613189697266,96.49760437011719
2021-01-07,127.20803833007812,86.39188385009766,100.54491424560547,142.15164184570312,90.442138671875,95.16000366210938,197.06639099121094,158.10800170898438,14.745643615722656,39.80419921875,114.15750122070312,28.957996368408203,85.69979095458984,178.24501037597656,19.809019088745117,661.9282836914062,50.61393737792969,36.560001373291016,54.67876052856445,144.8072509765625,32.0158576965332,200.6186065673828,27.36280059814453,100.40674591064453,36.773582458496094,347.13818359375,38.691375732421875,61.86806106567383,71.58545684814453,64.9756088256836,207.45285034179688,104.58501434326172,14.256340980529785,313.3205261230469,45.26985168457031,45.453060150146484,25.884973526000977,28.649999618530273,51.30803680419922,257.62939453125,18.50730323791504,11.45140266418457,234.1627655029297,,425.4809265136719,98.96417236328125,47.18107986450195,269.4033203125,138.39947509765625,119.04150390625,14.396488189697266,262.9185485839844,10.7080717086792,28.311389923095703,67.51410675048828,156.83694458007812,147.9397735595703,48.65530776977539,188.05706787109375,66.84119415283203,101.38099670410156,38.558834075927734,67.90101623535156,,63.197601318359375,208.98094177246094,125.02530670166016,77.15496063232422,134.09173583984375,13.305859565734863,159.53697204589844,29.645238876342773,58.69269943237305,19.29170036315918,120.74937438964844,130.72262573242188,58.20376968383789,,138.91062927246094,14.316374778747559,115.152587890625,91.2177734375,54.946022033691406,22.21820640563965,141.26168823242188,230.84117126464844,39.89988327026367,163.11412048339844,64.51231384277344,493.31524658203125,272.0133361816406,144.0206298828125,333.8663330078125,39.936134338378906,49.42748260498047,29.479700088500977,16.717153549194336,45.49153518676758,36.256866455078125,95.76305389404297
2021-01-08,128.30596923828125,86.8452377319336,100.8249282836914,143.18392944335938,91.39857482910156,94.58000183105469,200.83055114746094,159.13499450683594,14.288886070251465,40.00618362426758,114.27010345458984,28.66718292236328,85.5884017944336,179.34193420410156,19.634258270263672,667.247314453125,50.719451904296875,36.75,54.14042663574219,144.37986755371094,31.52968978881836,200.89158630371094,28.048799514770508,100.25260925292969,36.773582458496094,349.0440979003906,38.777435302734375,62.595523834228516,72.2678451538086,63.33916473388672,210.72415161132812,104.92252349853516,13.90319538116455,313.0419006347656,45.46292495727539,45.42905044555664,25.670917510986328,29.628000259399414,51.734779357910156,256.2425231933594,18.298131942749023,11.443472862243652,236.65159606933594,,415.1026611328125,98.61126708984375,46.692901611328125,272.9166564941406,138.1147003173828,119.17293548583984,14.201835632324219,267.63458251953125,10.627392768859863,28.142333984375,65.46256256103516,157.38551330566406,149.15072631835938,47.441898345947266,191.508056640625,66.25685119628906,102.24361419677734,37.69459915161133,67.1009521484375,,63.459022521972656,210.2542266845703,122.22061920166016,75.50670623779297,135.38685607910156,13.238802909851074,159.57345581054688,29.084386825561523,58.981178283691406,18.83214569091797,120.69718933105469,130.05662536621094,57.2723274230957,,139.74925231933594,14.243417739868164,115.52063751220703,93.26544189453125,54.8715934753418,22.182491302490234,141.95632934570312,230.78436279296875,39.248966217041016,165.248046875,64.80764770507812,505.1174011230469,293.3399963378906,146.78204345703125,332.3663635253906,39.400882720947266,47.803924560546875,29.268062591552734,16.530885696411133,45.48533248901367,36.66007995605469,97.16866302490234
2021-01-11,125.32304382324219,88.26204681396484,100.12933349609375,144.60899353027344,93.69404602050781,97.25,200.05584716796875,155.7104949951172,14.357831001281738,40.016963958740234,113.5945053100586,29.143056869506836,88.14244079589844,180.78335571289062,19.79154396057129,676.2709350585938,52.73232650756836,36.439998626708984,55.026611328125,143.1999053955078,31.744874954223633,200.0909423828125,28.052400588989258,99.11913299560547,37.31654357910156,343.4490661621094,39.035606384277344,63.607276916503906,72.680419921875,64.37967681884766,211.26937866210938,105.69036865234375,14.072091102600098,314.61138916015625,46.034393310546875,46.66162109375,25.835582733154297,29.634000778198242,51.299827575683594,259.55517578125,18.707386016845703,11.681380271911621,238.53359985351562,,412.0328674316406,98.64962768554688,46.593467712402344,271.2166748046875,137.5364532470703,120.95152282714844,14.388703346252441,273.239013671875,10.810750007629395,28.258005142211914,67.68360900878906,175.8563690185547,150.2983856201172,48.84635543823242,190.0531463623047,66.4411392211914,101.2101821899414,38.052513122558594,68.69302368164062,,64.14208984375,208.21505737304688,124.30509185791016,76.725830078125,136.03443908691406,13.582564353942871,157.91415405273438,30.03128433227539,58.65547180175781,18.83214569091797,119.8797378540039,131.0349884033203,58.53585433959961,,139.2763671875,14.494722366333008,114.06729888916016,92.32105255126953,56.053138732910156,22.31644058227539,140.71461486816406,229.0699920654297,39.47368621826172,166.68197631835938,63.100242614746094,506.1526794433594,270.39666748046875,146.91062927246094,329.9516906738281,39.4168586730957,48.57428741455078,29.31216049194336,16.693872451782227,45.690067291259766,37.77294158935547,97.64022064208984
2021-01-12,125.14813995361328,88.87733459472656,98.3226089477539,145.33070373535156,95.65480041503906,95.36000061035156,199.2305145263672,156.04150390625,15.969427108764648,40.34283447265625,114.11996459960938,29.66299819946289,91.26937866210938,184.98109436035156,20.1323299407959,686.0267333984375,53.10567092895508,35.33000183105469,55.21710205078125,145.50405883789062,32.119476318359375,204.9130401611328,28.032800674438477,100.4339370727539,39.01125717163086,343.6282653808594,39.40565872192383,63.76616668701172,74.06101989746094,64.72966766357422,208.30101013183594,107.43694305419922,15.131526947021484,310.9058837890625,48.21989059448242,50.31930923461914,26.197832107543945,30.582000732421875,50.94694519042969,266.9575500488281,20.126121520996094,11.816197395324707,243.018798828125,,401.51202392578125,99.13298034667969,48.13031005859375,262.80999755859375,136.46633911132812,122.85273742675781,14.669001579284668,275.0158996582031,11.155461311340332,28.044469833374023,68.31690979003906,169.10360717773438,152.71116638183594,50.73407745361328,187.71998596191406,67.1198959350586,100.17670440673828,39.789710998535156,67.1494369506836,,63.922828674316406,205.7642364501953,126.80474090576172,77.49632263183594,134.18423461914062,13.446208000183105,160.53074645996094,31.692005157470703,58.087806701660156,21.214305877685547,119.18401336669922,132.9670867919922,59.72650146484375,,137.79537963867188,14.802775382995605,114.34098815917969,90.74998474121094,56.936954498291016,23.343402862548828,137.3541717529297,226.5695037841797,40.48881530761719,169.94256591796875,63.1279411315918,491.777099609375,283.14666748046875,147.7596435546875,326.86029052734375,39.66451644897461,49.294944763183594,29.929426193237305,17.407880783081055,46.211212158203125,38.61162185668945,97.64022064208984
2021-01-13,127.17889404296875,91.03895568847656,101.312744140625,144.77345275878906,93.78013610839844,91.77999877929688,200.19898986816406,158.29449462890625,15.340300559997559,40.5062141418457,114.85186767578125,29.48674774169922,90.0838394165039,184.93186950683594,20.097368240356445,687.7998046875,52.53752136230469,36.060001373291016,55.374454498291016,145.97789001464844,32.07961654663086,203.63014221191406,27.899999618530273,101.63089752197266,38.6904182434082,346.2229309082031,39.035606384277344,62.64569854736328,73.9896011352539,65.00399017333984,207.56536865234375,105.35284423828125,14.68625545501709,306.8661804199219,46.69853591918945,49.25482177734375,26.099037170410156,29.579999923706055,50.50379180908203,267.6024475097656,19.616832733154297,11.79240608215332,241.01364135742188,,395.3819274902344,97.37603759765625,51.48424530029297,270.48333740234375,136.25926208496094,122.96664428710938,14.630070686340332,274.1747131347656,11.228805541992188,28.462642669677734,68.09391021728516,175.4402618408203,153.4702911376953,49.79399108886719,188.15464782714844,67.7402114868164,101.39807891845703,38.68977355957031,66.5433349609375,,63.720436096191406,207.1141357421875,124.3135757446289,77.93518829345703,132.32479858398438,13.493072509765625,161.75241088867188,31.83767318725586,57.7527961730957,20.942325592041016,119.36663818359375,130.80482482910156,58.1308708190918,,140.4451141357422,14.721707344055176,112.45355987548828,90.81177520751953,55.36467361450195,22.736160278320312,137.10232543945312,230.3486328125,40.357086181640625,167.99647521972656,62.87873077392578,494.6758728027344,284.8033447265625,146.99639892578125,324.7291564941406,39.552669525146484,47.79563903808594,29.80597686767578,17.260417938232422,45.73969268798828,39.04709243774414,97.16866302490234
2021-01-14,125.2550277709961,91.43209838867188,99.80711364746094,145.66867065429688,101.1926498413086,90.79000091552734,203.49996948242188,156.37350463867188,15.814291954040527,40.58341979980469,116.14676666259766,29.953807830810547,90.64080047607422,181.24742126464844,20.7177677154541,655.8242797851562,53.58454132080078,36.15999984741211,57.155120849609375,144.77008056640625,33.03603744506836,200.8733673095703,28.236000061035156,103.73460388183594,39.38146209716797,341.8827209472656,38.85489273071289,62.754398345947266,75.76696014404297,65.29722595214844,204.84788513183594,103.86779022216797,15.569120407104492,299.5202331542969,48.36536407470703,49.56696319580078,26.79062271118164,29.506000518798828,51.20954895019531,271.9573669433594,19.78963279724121,11.895501136779785,235.99200439453125,,384.9086608886719,98.94884490966797,53.56349182128906,265.71331787109375,138.64109802246094,123.68507385253906,14.739079475402832,287.1982421875,11.470836639404297,29.485837936401367,66.90756225585938,176.56570434570312,153.97633361816406,52.75325393676758,184.96978759765625,68.89993286132812,100.58666229248047,39.737327575683594,66.40594482421875,,64.48786163330078,203.93569946289062,126.55902099609375,79.29083251953125,130.7152099609375,13.162520408630371,164.10459899902344,32.602481842041016,57.32472229003906,22.7336368560791,118.09697723388672,132.77798461914062,60.050479888916016,,143.50527954101562,15.11893367767334,110.48117065429688,89.86738586425781,55.19721603393555,23.182666778564453,137.1804656982422,229.33518981933594,41.17847442626953,169.0121612548828,62.777225494384766,489.94317626953125,281.6666564941406,147.253662109375,320.60418701171875,39.368919372558594,49.92449188232422,30.643718719482422,17.60966682434082,45.59080123901367,40.57123947143555,97.73998260498047
2021-01-15,123.53520965576172,90.52293395996094,100.94996643066406,144.10659790039062,98.64849090576172,88.20999908447266,206.7251739501953,155.21249389648438,14.883536338806152,40.02503967285156,114.61729431152344,29.09017562866211,90.70447540283203,184.03887939453125,19.98377799987793,641.9404296875,54.006595611572266,36.33000183105469,53.19625473022461,144.18475341796875,32.38248825073242,199.16287231445312,28.11479949951172,102.03893280029297,37.119110107421875,341.7034912109375,39.09585189819336,63.76616668701172,73.0692138671875,65.609375,204.89114379882812,102.16339111328125,15.024045944213867,303.1421203613281,45.995277404785156,47.413970947265625,26.239004135131836,29.305999755859375,51.972774505615234,265.8975830078125,18.861989974975586,11.705171585083008,242.3680419921875,,386.6288146972656,98.50386047363281,52.05377197265625,259.47332763671875,138.3390350341797,121.46842956542969,14.33420181274414,287.43450927734375,11.360820770263672,29.984092712402344,68.31690979003906,180.4244384765625,154.8348388671875,51.782920837402344,186.220703125,66.77828216552734,99.7667465209961,38.39295959472656,67.3837890625,,63.45058822631836,203.58143615722656,122.66971588134766,78.72518157958984,130.1785888671875,12.822741508483887,157.0115966796875,32.1727409362793,57.49222946166992,20.998592376708984,117.2099380493164,128.16574096679688,58.10655975341797,,140.1506805419922,14.778454780578613,110.38679504394531,90.3175048828125,54.65760803222656,22.245006561279297,131.98780822753906,229.20262145996094,40.2718505859375,166.27232360839844,63.183311462402344,496.0859069824219,275.38665771484375,145.09259033203125,321.3085021972656,38.66590881347656,48.29264450073242,28.253950119018555,17.46220588684082,44.86802291870117,38.619693756103516,96.68804168701172
